[2024-08-07T13:45:13Z INFO  rhoevm] Starting EVM symbolic execution...
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xae, Opcode: MUL
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xaf, Opcode: NOT
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xb0, Opcode: AND
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xb1, Opcode: SWAP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xb2, Opcode: DUP4
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xb3, Opcode: PUSH20 Lit(0xffffffffffffffffffffffffffffffffffffffff)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xc8, Opcode: AND
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xc9, Opcode: MUL
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xca, Opcode: OR
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xcb, Opcode: SWAP1
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] access_storage slot=Lit(0x0), slot_conc=Lit(0x0)
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] access_storage @ addr=SymAddr(entrypoint)
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] sstore addr=SymAddr(entrypoint), k=Lit(0x0), v=Or(Mul(And(Lit(0xffffffffffffffffffffffffffffffffffffffff), Lit(0x0)), Exp(Lit(0x100), Lit(0x0))), And(Not(Mul(Lit(0xffffffffffffffffffffffffffffffffffffffff), Exp(Lit(0x100), Lit(0x0)))), Lit(0x0)))
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xcc, Opcode: SSTORE
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xcd, Opcode: POP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0xce, Opcode: JUMP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x5d, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x5e, Opcode: STOP
[2024-08-07T13:45:13Z DEBUG rhoevm] ---------------
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x87, Opcode: RETURNDATASIZE
